topic	sentence_hash	sentence	stance	aspect	inner	cross
abortion	073f602df27f20ff304f13db81f095ae		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000000000000000000000000000000000011111111111110000000000000000000000111111111100000000000000000001111111111111111111111111111110	Train	Train
abortion	dbdb2534072e8150e3c2e18bc636a9fa		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000001111110	Train	Train
abortion	c9d7e9f0336c3d138125278281a1e1a5		nnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000000000000000000000000000000000000000000000111111111111111111100000000000000000000011111111111110	Train	Train
abortion	543fc18cfe1622c03110e35fa69b072b		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111000000000000111111111111111111111111110	Train	Train
abortion	47f9b666094371e822e8e340add78b48		ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000000000000000000001111111100000111111000000000001111111001111110000001111111110	Train	Train
abortion	c954f9e11302415be467bb213aa135bb		nnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	0000000000000000000011110000000000000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	8aee5daf0d455e1850b69f08f13e371c		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111110000000000000000000000000000000000000000000000000000011111111111110	Train	Train
abortion	b6271b53f2d3866ccf6e03dd6b758607		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnn	0000000000000000000000011110000000000000000000000000000000000000	Train	Train
abortion	95981040a6bc80274693a2028430bad1		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000000000000000000000000000000001111111111111100000000000000000000000000000111111111111111110	Test	
abortion	de268875c449efe0d9293a3dac5f6650		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111100000000000011111111111110	Test	
abortion	9dd65e9d728137e206c68a6a6d5b70ce		nnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000001111000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	6436fc3bd18e66a798d83db37f5dbcfa		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppn	0000000000000000000000000000000000000001111111111111000000000000000000000000000000000000000000000000000000000011111111110	Train	Train
abortion	d63c1d2523a901340e263b3972693dd5		nnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000001111111111111111110000000000001111000000000000000000000000000000000000000001111111111110000000000000000000000000	Test	
abortion	8e6d202f9d56417429ed38d51409af70		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	0000000000111111110000000000000000001111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	c53ac0b99bb017145dc395c6859cd0ed		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111110000000000000000000011111100000111110	Train	Train
abortion	2791b90bc92ee599b8aafd891b56e76a		ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	00000000001111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111110000111111111111110000000000000000000000000000000000111111111111110	Dev	Train
abortion	8bbdfe9ca2a8abc47e418b5571ce1d2e		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000000000111111111111111100000000000000000000000000001111111111111111111111111000000000000000000001111111111110	Train	Train
abortion	1604a6364edd9c67c361d1245c020f1b		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppnnnn	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111100000000000000000000000000000000000	Train	Train
abortion	268fb3849cde3f57be176608f5ac4e44		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000011111100000000000000000000000000000	Train	Train
abortion	00212ee0a6b0d132d4e5e4cc7dfbfb92		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	0000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000011111111111111111110000001111111111111110	Test	
