topic	sentence_hash	segment_count	segment_hash	stance	aspect	segment	inner	cross
abortion	073f602df27f20ff304f13db81f095ae	0	c643618c8eec8e500ae59db89f6c76a9	con	1111111111111000000000000000000000011111111110000000000000000000111111111111111111111111111111		Train	Train
abortion	dbdb2534072e8150e3c2e18bc636a9fa	0	33d4260e6a229e3928da88bd9ee3d825	con	000000000000000000000000000000000000001111100000000000000000000000		Train	Train
abortion	dbdb2534072e8150e3c2e18bc636a9fa	1	0cdd4736d0e81edda13668176f00ecb8	con	00000000000000000000000000111111		Train	Train
abortion	c9d7e9f0336c3d138125278281a1e1a5	0	5f4d9bc81a4a3caad98ece753e8cdb70	con	0000000000000000000000000000000000000011111111111111111110000000000000000000001111111111111		Train	Train
abortion	543fc18cfe1622c03110e35fa69b072b	0	1ddbf096f4dd4d09accc235a34198aeb	con	00000000000000000000000011111111111111100000000000011111111111111111111111111		Train	Train
abortion	47f9b666094371e822e8e340add78b48	0	bb7f71d21ec2ac150e31fc0ab9ff1bde	con	0000000000000000000000000000111111110000011111100000000000111111100111111000000111111111		Train	Train
abortion	c954f9e11302415be467bb213aa135bb	0	63ac573c94ad10b19df4b40ddb162b26	con	00000111100000000000000000000000000000000000000000111000000000000000000000000000000		Train	Train
abortion	8aee5daf0d455e1850b69f08f13e371c	0	06a073318a558ee97698354196dcdb89	pro	1111100000000000000000000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	8aee5daf0d455e1850b69f08f13e371c	1	4bdb4d7bab6e32fe140d1345727bc96c	pro	00000000000000000000000000000001111111111111000000000000000000000000000000000000000000000000000001111111111111		Train	Train
abortion	b6271b53f2d3866ccf6e03dd6b758607	0	7e2ce48d6683db0d3b65fa3b70e2b758	con	0000000000000000000000011110000000000000000000000000000000000		Train	Train
abortion	95981040a6bc80274693a2028430bad1	0	91b8b10c67e8b5a8e01163c9d27fb9e2	pro	000000000000000000000000000111111111111110000000000000000000000000000011111111111111111		Test	
abortion	de268875c449efe0d9293a3dac5f6650	0	219f754ec54c0320b84b174000cb30e3	pro	00000000000000000000000001111110000000000001111111111111		Test	
abortion	9dd65e9d728137e206c68a6a6d5b70ce	0	c9250e1cf19660c0b06de665627daff1	con	111100000000000000000000000000000000000000000000000000000000		Train	Train
abortion	6436fc3bd18e66a798d83db37f5dbcfa	0	8113aa5c3a7b19fe16e2562e01d9705d	pro	00000000000000000000000000000000000000011111111111110000000		Train	Train
abortion	6436fc3bd18e66a798d83db37f5dbcfa	1	b0eda1e00441ffd815079b35ce674814	pro	0000000000000000000000000000000000000000000001111111111		Train	Train
abortion	d63c1d2523a901340e263b3972693dd5	0	4423f0b556c72bc63edc3aede967b297	con	000000000000000111111111111111111		Test	
abortion	d63c1d2523a901340e263b3972693dd5	1	9c600baa75d4da28b1e069a544c50fbd	con	111100000000000000000000000000000000000000000111111111111000000000000000000000000		Test	
abortion	8e6d202f9d56417429ed38d51409af70	0	1da0d748d1c97db2bc36a26eea5d31c3	con	00000000001111111100000000000000000011111100000000000000000000000000000000000000000000000000000		Train	Train
abortion	c53ac0b99bb017145dc395c6859cd0ed	0	760495b1448c621ccd20c56ace477191	pro	0000000000000000000000000000000001111111111111111000000000000000000001111110000011111		Train	Train
abortion	2791b90bc92ee599b8aafd891b56e76a	0	8e4e614bc65f5a9b192bbd0d9f106131	pro	0000000000111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111000011111111111111000000000000000000000000000000000011111111111111		Dev	Train
abortion	8bbdfe9ca2a8abc47e418b5571ce1d2e	0	bfb73d26d624fe0411d90663474c8be3	pro	000011111111111111110000000000000000000000000000111111111111111111111111100000000000000000000111111111111		Train	Train
abortion	1604a6364edd9c67c361d1245c020f1b	0	79eabb7f5910296bdca65aae96d30083	pro	000011111111110000000000000000000000000000000		Train	Train
abortion	268fb3849cde3f57be176608f5ac4e44	0	3f0e9a5ba83512fa20df7d69a807d1c5	con	00000000000000000000000000000000000000000001111110000000000000000000000000000		Train	Train
abortion	00212ee0a6b0d132d4e5e4cc7dfbfb92	0	b7018cee1d6c79072ede2402ce290a7b	pro	00000000000000000000000000111111111111100000000000000000001111111111111111111000000111111111111111		Test	
abortion	56fee84d80d547cd3fbf307e6b87d9bd	0	c9bc08f7da40db9799e6d656abd36658	pro	0000000000000000000000000000000000011111111111111111110000000000000000000000111111111000000000000		Test	
abortion	2ef4c72c1384b67e568e4c9cd5140db2	0	ea4e4dba710b06255b76a62dc30a6f1c	pro	000000000000000000000000000000000000000000000000000000000000000000111111110000000000111111111111111		Train	Train
abortion	09b22d5e8ea84dd3485409f2985fbf4d	0	8625df3964ccd253baa4548a40a9879d	pro	000000000000000000000000011111111111111111111000000000000000000000111111111111100000000000000000001111111111111111111110000011111111		Train	Train
